Id;CodePostal;Commune;Departement;Longitude;Latitude;ID Geofla
4154;5160;PONTIS;ALPES-DE-HAUTE-PROVENCE;44.4956918963; 6.36523776593;8464
13061;13150;SAINT-PIERRE-DE-MEZOARGUES;BOUCHES-DU-RHONE;43.8612350805; 4.65739524122;13757
84009;84240;LA BASTIDE-DES-JOURDANS;VAUCLUSE;43.7945397599; 5.64677782095;7582
84090;84240;PEYPIN-D'AIGUES;VAUCLUSE;43.7964408305; 5.56003326924;7996
13051;13680;LANCON-PROVENCE;BOUCHES-DU-RHONE;43.5760406168; 5.15953601477;168
13002;13190;ALLAUCH;BOUCHES-DU-RHONE;43.3533145712; 5.51134767187;29381
4099;4170;LAMBRUISSE;ALPES-DE-HAUTE-PROVENCE;44.0448344934; 6.44538846702;22532
84033;84400;CASTELLET;VAUCLUSE;43.834452269; 5.48116657241;34061
6047;6510;CONSEGUDES;ALPES-MARITIMES;43.8406957218; 7.04503670887;31536
4068;4300;DAUPHIN;ALPES-DE-HAUTE-PROVENCE;43.8932434369; 5.776452248;24768
5054;5500;LA FARE-EN-CHAMPSAUR;HAUTES-ALPES;44.6653766254; 6.05826038858;22084
4130;4230;MONTLAUX;ALPES-DE-HAUTE-PROVENCE;44.0407923753; 5.85016627036;2414
5114;5160;REALLON;HAUTES-ALPES;44.6107753971; 6.36046039369;5594
4237;4140;LE VERNET;ALPES-DE-HAUTE-PROVENCE;44.2766068334; 6.40297525512;8292
5107;5100;PUY-SAINT-ANDRE;HAUTES-ALPES;44.8909036618; 6.56677781045;35902
84002;84240;ANSOUIS;VAUCLUSE;43.7365172868; 5.47136689464;15816
5084;5230;MONTGARDIN;HAUTES-ALPES;44.543584781; 6.23305665739;17318
4055;4330;CHAUDON-NORANTE;ALPES-DE-HAUTE-PROVENCE;43.9919149482; 6.31736807144;31255
5120;5460;RISTOLAS;HAUTES-ALPES;44.7358493135; 6.99202108042;2734
4136;4170;LA MURE-ARGENS;ALPES-DE-HAUTE-PROVENCE;44.0166107784; 6.53196701824;13187
4182;4270;SAINT-JULIEN-D'ASSE;ALPES-DE-HAUTE-PROVENCE;43.9266153853; 6.07806454992;2530
5088;5150;MONTMORIN;HAUTES-ALPES;44.4501067794; 5.55351371982;14018
83111;83136;SAINTE-ANASTASIE-SUR-ISSOLE;VAR;43.3334103841; 6.12496118501;29373
5019;5140;LA BEAUME;HAUTES-ALPES;44.5482914658; 5.65375214301;14160
13103;13300;SALON-DE-PROVENCE;BOUCHES-DU-RHONE;43.6462885238; 5.06814649576;1767
5108;5200;PUY-SAINT-EUSEBE;HAUTES-ALPES;44.5685889454; 6.41129829522;26311
83140;83170;TOURVES;VAR;43.4088015642; 5.92715707141;10032
5059;5000;LA FREISSINOUSE;HAUTES-ALPES;44.535534165; 6.00812804583;23850
4016;4200;AUTHON;ALPES-DE-HAUTE-PROVENCE;44.2492545518; 6.15102271049;5770
5067;5500;LES INFOURNAS;HAUTES-ALPES;44.7149452771; 6.11308861392;19949
6114;6730;SAINT-ANDRE-DE-LA-ROCHE;ALPES-MARITIMES;43.745876244; 7.28871372647;23028
13052;13910;MAILLANE;BOUCHES-DU-RHONE;43.8230609796; 4.78456570653;14718
13210;13010;MARSEILLE-10E--ARRONDISSEMENT;BOUCHES-DU-RHONE;43.2755155435; 5.42681101081;36598
5127;5190;ROUSSET;HAUTES-ALPES;44.4843785512; 6.2666913091;17401
84126;84110;SEGURET;VAUCLUSE;44.2159640237; 5.02881720149;7444
84101;84210;LA ROQUE-SUR-PERNES;VAUCLUSE;43.9741947109; 5.10175518845;4768
6162;6430;LA BRIGUE;ALPES-MARITIMES;44.0714555606; 7.65147828925;5803
84050;84220;GORDES;VAUCLUSE;43.909019241; 5.19801978618;2390
5131;5400;SAINT-AUBAN-D'OZE;HAUTES-ALPES;44.4883156877; 5.84847801019;16401
83128;83690;SILLANS-LA-CASCADE;VAR;43.5658824056; 6.16515240575;22997
4042;4320;CASTELLET-LES-SAUSSES;ALPES-DE-HAUTE-PROVENCE;44.0403038573; 6.73450900533;5736
4208;4150;SIMIANE-LA-ROTONDE;ALPES-DE-HAUTE-PROVENCE;43.9838128235; 5.56248994589;8888
84071;84660;MAUBEC;VAUCLUSE;43.8417800592; 5.13767903423;14593
4023;4250;BAYONS;ALPES-DE-HAUTE-PROVENCE;44.3249277264; 6.17282537759;14259
13087;13790;ROUSSET;BOUCHES-DU-RHONE;43.4841496165; 5.62380799416;13260
13073;13124;PEYPIN;BOUCHES-DU-RHONE;43.3847877457; 5.57131918284;20255
83026;83340;CABASSE;VAR;43.4270972655; 6.23202349485;3950
5167;5700;SIGOTTIER;HAUTES-ALPES;44.458049604; 5.68531113946;5954
84060;84400;LAGARDE-D'APT;VAUCLUSE;43.9838729786; 5.48164417071;34027
5165;5700;SAVOURNON;HAUTES-ALPES;44.4240775993; 5.79927741464;3486
13066;13550;NOVES;BOUCHES-DU-RHONE;43.8584523466; 4.89952194493;19822
6106;6910;ROQUESTERON;ALPES-MARITIMES;43.8677906196; 7.02413611655;19743
13004;13200;ARLES;BOUCHES-DU-RHONE;43.5468692378; 4.66215642574;11588
4217;4380;THOARD;ALPES-DE-HAUTE-PROVENCE;44.1473006003; 6.12401298333;8874
4140;4200;LES OMERGUES;ALPES-DE-HAUTE-PROVENCE;44.1527454808; 5.5893705894;5641
6035;6500;CASTELLAR;ALPES-MARITIMES;43.8220566609; 7.49891571145;31011
13003;13980;ALLEINS;BOUCHES-DU-RHONE;43.7074197745; 5.15105029207;18052
83123;83110;SANARY-SUR-MER;VAR;43.138282853; 5.79588814177;1498
6163;6430;TENDE;ALPES-MARITIMES;44.0997669286; 7.54053179417;21777
84037;84230;CHATEAUNEUF-DU-PAPE;VAUCLUSE;44.0595884031; 4.82728435607;28873
6078;6710;MALAUSSENE;ALPES-MARITIMES;43.9153232562; 7.14112063451;1042
83005;83630;ARTIGNOSC-SUR-VERDON;VAR;43.6940767712; 6.10762159358;34338
4077;4700;ENTREVENNES;ALPES-DE-HAUTE-PROVENCE;43.9378972717; 6.03380903148;8070
5168;5130;SIGOYER;HAUTES-ALPES;44.4802333692; 5.96951792615;8277
5143;5300;SAINT-GENIS;HAUTES-ALPES;44.3808485026; 5.79631196854;11118
83104;83560;RIANS;VAR;43.6055023788; 5.74132523759;13041
83063;83680;LA GARDE-FREINET;VAR;43.3234160321; 6.46693786821;8149
13089;13670;SAINT-ANDIOL;BOUCHES-DU-RHONE;43.8307575371; 4.95027358923;31014
5149;5260;SAINT-LEGER-LES-MELEZES;HAUTES-ALPES;44.6468761009; 6.21171867053;15319
83127;83870;SIGNES;VAR;43.2776407451; 5.8571396222;2395
13025;13790;CHATEAUNEUF-LE-ROUGE;BOUCHES-DU-RHONE;43.4912659702; 5.56821681952;10532
13048;13490;JOUQUES;BOUCHES-DU-RHONE;43.6334137827; 5.65675796328;1528
6116;6850;SAINT-AUBAN;ALPES-MARITIMES;43.8309790119; 6.74006506104;12416
5158;5400;LE SAIX;HAUTES-ALPES;44.4638478254; 5.83381616664;10994
84115;84330;SAINT-PIERRE-DE-VASSOLS;VAUCLUSE;44.0949073027; 5.14436401724;18071
5033;5700;CHANOUSSE;HAUTES-ALPES;44.3646760156; 5.66013922855;23852
83030;83170;CAMPS-LA-SOURCE;VAR;43.372512011; 6.12128418794;36577
5066;5140;LA HAUTE-BEAUME;HAUTES-ALPES;44.5686788407; 5.62845703761;11434
5118;5300;RIBIERS;HAUTES-ALPES;44.2207910151; 5.84342231314;5048
84075;84570;METHAMIS;VAUCLUSE;44.0126367285; 5.25299930239;13842
5178;5300;VENTAVON;HAUTES-ALPES;44.3856656442; 5.88845374579;10070
84077;84330;MODENE;VAUCLUSE;44.1057811873; 5.12787069214;25155
6051;6260;LA CROIX-SUR-ROUDOULE;ALPES-MARITIMES;44.0003096653; 6.87019911618;8278
5097;5700;ORPIERRE;HAUTES-ALPES;44.3146933801; 5.70618607588;13319
83046;83570;COTIGNAC;VAR;43.5233757149; 6.14490029042;2851
5115;5190;REMOLLON;HAUTES-ALPES;44.4716185236; 6.15977657931;17966
83078;83630;MOISSAC-BELLEVUE;VAR;43.6471902756; 6.16702503297;9059
83137;83000/83100/83200;TOULON;VAR;43.1361589728; 5.93239634249;1882
4120;4530;MEYRONNES;ALPES-DE-HAUTE-PROVENCE;44.4730642294; 6.81114702697;7605
13097;13310;SAINT-MARTIN-DE-CRAU;BOUCHES-DU-RHONE;43.6119214615; 4.85701475567;993
84044;84340;ENTRECHAUX;VAUCLUSE;44.2224730765; 5.13332490403;16807
5169;5150;SORBIERS;HAUTES-ALPES;44.3625387102; 5.57325324553;35726
4151;4300;PIERRERUE;ALPES-DE-HAUTE-PROVENCE;43.9623331645; 5.83601873141;22399
84082;84570;MORMOIRON;VAUCLUSE;44.0700058452; 5.19092701239;15264
83008;83600;BAGNOLS-EN-FORET;VAR;43.5330955002; 6.70850106064;971
4198;4340;SAINT-VINCENT-LES-FORTS;ALPES-DE-HAUTE-PROVENCE;44.4374162723; 6.3688796074;1685
4164;4230;REVEST-SAINT-MARTIN;ALPES-DE-HAUTE-PROVENCE;44.0198482775; 5.82298621297;35108
4183;4170;SAINT-JULIEN-DU-VERDON;ALPES-DE-HAUTE-PROVENCE;43.9097626116; 6.54605900451;29693
4090;4240;LE FUGERET;ALPES-DE-HAUTE-PROVENCE;44.0145000822; 6.66560747142;2473
84078;84430;MONDRAGON;VAUCLUSE;44.2429843935; 4.72457377095;23511
5111;5200;PUY-SANIERES;HAUTES-ALPES;44.5556949894; 6.43667418858;25853
84076;84120;MIRABEAU;VAUCLUSE;43.7048655954; 5.64268969136;20947
4245;4130;VOLX;ALPES-DE-HAUTE-PROVENCE;43.8706676132; 5.83153973779;13690
83007;83630;AUPS;VAR;43.6246326968; 6.22132785585;11815
5006;5120;L'ARGENTIERE-LA-BESSEE;HAUTES-ALPES;44.7821732712; 6.47214497323;11393
4200;4290;SALIGNAC;ALPES-DE-HAUTE-PROVENCE;44.1571681055; 5.98824785964;32633
83064;83136;GAREOULT;VAR;43.3403271328; 6.04087625954;20132
13008;13121;AURONS;BOUCHES-DU-RHONE;43.6715125585; 5.14903600713;17737
13023;13600;CEYRESTE;BOUCHES-DU-RHONE;43.2238501508; 5.63636473345;6701
84114;84220;SAINT-PANTALEON;VAUCLUSE;43.8778804064; 5.21653289666;12646
4021;4380;BARRAS;ALPES-DE-HAUTE-PROVENCE;44.1006575617; 6.09850212835;997
84045;84110;FAUCON;VAUCLUSE;44.2524220745; 5.14218487887;32917
5141;5500;SAINT-EUSEBE-EN-CHAMPSAUR;HAUTES-ALPES;44.7224269114; 6.03646608621;25785
83098;83220;LE PRADET;VAR;43.099405984; 6.02844015499;7295
83102;83630;REGUSSE;VAR;43.6676978951; 6.11814572566;6926
13036;13630;EYRAGUES;BOUCHES-DU-RHONE;43.84304663; 4.84289529399;18752
13040;13710;FUVEAU;BOUCHES-DU-RHONE;43.4594948454; 5.55305747206;13432
84040;84110;CRESTET;VAUCLUSE;44.2097519132; 5.08597487017;22660
83043;83610;COLLOBRIERES;VAR;43.2414148175; 6.34032184648;7278
13215;13015;MARSEILLE-15E--ARRONDISSEMENT;BOUCHES-DU-RHONE;43.358794754; 5.363407897;36603
5016;5700;LA BATIE-MONTSALEON;HAUTES-ALPES;44.4559449966; 5.74903304625;24746
5121;5190;ROCHEBRUNE;HAUTES-ALPES;44.452250356; 6.19249346455;31498
