CodeInsee,CodePostal,Commune ,Latitude ,Longitude,Id
84046,84410,FLASSAN,5.263720295,44.09854221,364
4128,4110,MONTFURON,5.688593185,43.83158008,365
4059,4330,CLUMANC,6.377643211,44.02209426,366
13037,13580,LA FARE-LES-OLIVIERS,5.202476214,43.55444852,367
4204,4330,SENEZ,6.369033713,43.92249782,368
13216,13016,MARSEILLE-16E--ARRONDISSEMENT,5.313378286,43.36490541,369
4061,4370,COLMARS,6.661540614,44.17242728,370
4070,4000,DIGNE-LES-BAINS,6.235903235,44.09087236,371
5159,5300,SALEON,5.775271694,44.32015511,372
6038,6740,CHATEAUNEUF-GRASSE,6.979140593,43.66563458,373
84032,84750,CASENEUVE,5.47985826,43.88886887,374
4244,4290,VOLONNE,6.034678275,44.12394789,375
4110,4510,MALLEMOISSON,6.118071472,44.0420072,376
4101,4230,LARDIERS,5.726916122,44.08507929,377
13082,13840,ROGNES,5.35218247,43.66487818,378
13209,13009,MARSEILLE--9E--ARRONDISSEMENT,5.452496831,43.23408349,379
4028,4270,BEYNES,6.240256631,43.98349652,380
4109,4230,MALLEFOUGASSE-AUGES,5.897796486,44.07599186,381
83073,83340,LE LUC,6.305999501,43.38046489,382
4046,4510,LE CHAFFAUT-SAINT-JURSON,6.140737987,44.02318043,383
83067,83590,GONFARON,6.300368624,43.32064949,384
6050,6140,COURSEGOULES,7.036226435,43.79155803,385
4143,4700,ORAISON,5.924580116,43.91110603,386
5072,5500,LAYE,6.071039433,44.64174173,387
83125,83470,SEILLONS-SOURCE-D'ARGENS,5.8769357,43.51509706,388
13009,13330,LA BARBEN,5.213850527,43.61838551,389
4041,4700,LE CASTELLET,5.979004953,43.91988849,390
6032,6320,CAP-D'AIL,7.401616175,43.72473923,391
13202,13002,MARSEILLE--2E--ARRONDISSEMENT,5.363649833,43.31269642,392
5154,5140,SAINT-PIERRE-D'ARGENCON,5.690465129,44.51994649,393
