CodeInsee,Name,Longitude,Latitude,Id
84076,MIRABEAU,43.7048656,5.642689691,275
4245,VOLX,43.87066761,5.831539738,276
83007,AUPS,43.6246327,6.221327856,277
5006,L'ARGENTIERE-LA-BESSEE,44.78217327,6.472144973,278
4200,SALIGNAC,44.15716811,5.98824786,279
83064,GAREOULT,43.34032713,6.04087626,280
13008,AURONS,43.67151256,5.149036007,281
13023,CEYRESTE,43.22385015,5.636364733,282
84114,SAINT-PANTALEON,43.87788041,5.216532897,283
4021,BARRAS,44.10065756,6.098502128,284
84045,FAUCON,44.25242207,5.142184879,285
5141,SAINT-EUSEBE-EN-CHAMPSAUR,44.72242691,6.036466086,286
83098,LEPRADET,43.09940598,6.028440155,287
83102,REGUSSE,43.6676979,6.118145726,288
13036,EYRAGUES,43.84304663,4.842895294,289
13040,FUVEAU,43.45949485,5.553057472,290
84040,CRESTET,44.20975191,5.08597487,291
83043,COLLOBRIERES,43.24141482,6.340321846,292
13215,MARSEILLE-15E--ARRONDISSEMENT,43.35879475,5.363407897,293
5016,LABATIE-MONTSALEON,44.455945,5.749033046,294
5121,ROCHEBRUNE,44.45225036,6.192493465,295
4081,ESPARRON-DE-VERDON,43.74382503,5.988916392,296
6018,BIOT,43.62765581,7.083186129,297
83081,MONTAUROUX,43.59901011,6.789859953,298
84133,LATOUR-D'AIGUES,43.72148352,5.567346641,299
83145,VARAGES,43.59573325,5.944410997,300
4145,PEIPIN,44.14130265,5.943714738,301
6087,LESMUJOULS,43.87198477,6.859122794,302
83068,GRIMAUD,43.28202825,6.533032241,303
6085,MOUGINS,43.59614106,7.001294449,304
83079,LAMOLE,43.21592063,6.476566439,305
83118,SAINT-RAPHAEL,43.45746254,6.847342104,306
83070,LELAVANDOU,43.1656103,6.412312779,307
5028,CHABESTAN,44.47757559,5.783053196,308
6144,LATOUR,43.96268773,7.199949146,309
4116,LESMEES,43.99447674,5.966017556,310
6129,SAINT-SAUVEUR-SUR-TINEE,44.12106766,7.11814486,311
83075,LESMAYONS,43.30691019,6.359961727,312
13054,MARIGNANE,43.41720684,5.212219045,313
4152,PIERREVERT,43.80650506,5.722738217,314
84097,RICHERENCHES,44.35581331,4.903864898,315
5051,ETOILE-SAINT-CYRICE,44.32097089,5.643777615,316
5002,AGNIERES-EN-DEVOLUY,44.68267178,5.864643337,317
83080,MONS,43.69894665,6.70893258,318
5181,VILLAR-D'ARENE,44.99972177,6.364284546,319
4127,MONTFORT,44.05917099,5.952860936,320
4186,SAINT-LAURENT-DU-VERDON,43.72161722,6.068595388,321
6052,CUEBRIS,43.88921258,7.004487943,322
84049,GIGONDAS,44.16609833,5.012318718,323
13115,VERNEGUES,43.68413944,5.188255265,324
4134,LAMOTTE-DU-CAIRE,44.34087057,6.030526693,325
5096,ORCIERES,44.68409828,6.348975278,326
83009,BANDOL,43.14735445,5.747893584,327
4118,MELVE,44.35636981,5.992911021,328
83112,SAINT-CYR-SUR-MER,43.17203552,5.708326037,329
13005,AUBAGNE,43.29348438,5.563312735,330
6056,ENTRAUNES,44.21469606,6.76292204,331
6014,BENDEJUN,43.83032695,7.284471306,332
84096,RASTEAU,44.23228596,4.980472682,333
83035,LECASTELLET,43.22766749,5.765601084,334
13050,LAMBESC,43.66152177,5.251914469,335
6096,PIERLAS,44.03467608,7.016975867,336
84150,VISAN,44.32680065,4.944301781,337
84130,SUZETTE,44.17171965,5.061940895,338
83004,LESARCS,43.45098821,6.489702212,339
13111,VAUVENARGUES,43.5590116,5.613241037,340
83014,BAUDINARD-SUR-VERDON,43.71380384,6.133527576,341
6083,MENTON,43.79082337,7.493656124,342
13011,LESBAUX-DE-PROVENCE,43.74580873,4.802181625,343
4172,ROUMOULES,43.82104161,6.148647033,344
13046,GREASQUE,43.42620297,5.546851092,345
4075,ENTREPIERRES,44.19565372,6.022241242,346
6010,LEBAR-SUR-LOUP,43.69929431,6.962727791,347
4079,L'ESCALE,44.08100586,6.034554945,348
5069,LAGRAND,44.3375165,5.741945256,349
